Region,County,First Dose,Series Complete,Report as of
Mohawk Valley,Herkimer,102,0,12/22/2020
North Country,Jefferson,41,0,12/22/2020
New York City,Kings,5196,21,12/22/2020
North Country,Lewis,10,0,12/22/2020
Finger Lakes,Livingston,85,0,12/22/2020
Central New York,Madison,186,0,12/22/2020
Finger Lakes,Monroe,2659,5,12/22/2020
Mohawk Valley,Montgomery,106,0,12/22/2020
Long Island,Nassau,4204,5,12/22/2020
New York City,New York,6501,18,12/22/2020
Western New York,Niagara,574,0,12/22/2020
Mohawk Valley,Oneida,524,0,12/22/2020
Central New York,Onondaga,1442,4,12/22/2020
Finger Lakes,Ontario,250,0,12/22/2020
Mid-Hudson,Orange,1173,9,12/22/2020
Finger Lakes,Orleans,34,0,12/22/2020
Central New York,Oswego,92,0,12/22/2020
Mohawk Valley,Otsego,184,0,12/22/2020
Mid-Hudson,Putnam,136,3,12/22/2020
New York City,Queens,3889,16,12/22/2020
Capital Region,Rensselaer,288,1,12/22/2020
New York City,Richmond,1761,5,12/22/2020
Mid-Hudson,Rockland,859,3,12/22/2020
Capital Region,Saratoga,708,2,12/22/2020
Capital Region,Schenectady,394,1,12/22/2020
Mohawk Valley,Schoharie,24,0,12/22/2020
Southern Tier,Schuyler,1,0,12/22/2020
Finger Lakes,Seneca,34,0,12/22/2020
North Country,St. Lawrence,678,0,12/22/2020
Southern Tier,Steuben,80,0,12/22/2020
Long Island,Suffolk,2946,13,12/22/2020
Mid-Hudson,Sullivan,88,1,12/22/2020
Southern Tier,Tioga,5,0,12/22/2020
Southern Tier,Tompkins,35,0,12/22/2020
Mid-Hudson,Ulster,311,1,12/22/2020
Capital Region,Warren,155,0,12/22/2020
Capital Region,Washington,79,0,12/22/2020
Finger Lakes,Wayne,98,0,12/22/2020
Mid-Hudson,Westchester,2665,12,12/22/2020
Finger Lakes,Wyoming,62,0,12/22/2020
Finger Lakes,Yates,19,0,12/22/2020
Capital Region,Albany,1994,5,12/23/2020
Western New York,Allegany,132,0,12/23/2020
New York City,Bronx,1985,6,12/23/2020
Southern Tier,Broome,82,0,12/23/2020
Western New York,Cattaraugus,276,0,12/23/2020
Central New York,Cayuga,134,0,12/23/2020
Western New York,Chautauqua,317,0,12/23/2020
Southern Tier,Chemung,17,0,12/23/2020
Southern Tier,Chenango,80,0,12/23/2020
North Country,Clinton,276,1,12/23/2020
Capital Region,Columbia,152,0,12/23/2020
Central New York,Cortland,132,1,12/23/2020
Southern Tier,Delaware,115,1,12/23/2020
Mid-Hudson,Dutchess,748,7,12/23/2020
Western New York,Erie,6079,4,12/23/2020
North Country,Essex,86,0,12/23/2020
North Country,Franklin,240,0,12/23/2020
Mohawk Valley,Fulton,173,0,12/23/2020
Finger Lakes,Genesee,56,0,12/23/2020
Capital Region,Greene,83,0,12/23/2020
North Country,Hamilton,9,0,12/23/2020
Mohawk Valley,Herkimer,150,0,12/23/2020
North Country,Jefferson,113,0,12/23/2020
New York City,Kings,6896,25,12/23/2020
North Country,Lewis,20,0,12/23/2020
Finger Lakes,Livingston,148,0,12/23/2020
Central New York,Madison,279,0,12/23/2020
Finger Lakes,Monroe,3045,5,12/23/2020
Mohawk Valley,Montgomery,249,0,12/23/2020
Long Island,Nassau,5842,11,12/23/2020
New York City,New York,8909,20,12/23/2020
Western New York,Niagara,844,1,12/23/2020
Mohawk Valley,Oneida,933,1,12/23/2020
Central New York,Onondaga,1638,4,12/23/2020
Finger Lakes,Ontario,460,0,12/23/2020
Mid-Hudson,Orange,1370,10,12/23/2020
Finger Lakes,Orleans,43,0,12/23/2020
Central New York,Oswego,113,0,12/23/2020
Mohawk Valley,Otsego,274,0,12/23/2020
Mid-Hudson,Putnam,198,4,12/23/2020
New York City,Queens,5632,18,12/23/2020
Capital Region,Rensselaer,546,2,12/23/2020
New York City,Richmond,2312,7,12/23/2020
Mid-Hudson,Rockland,1095,3,12/23/2020
Capital Region,Saratoga,1235,3,12/23/2020
Capital Region,Schenectady,664,3,12/23/2020
Mohawk Valley,Schoharie,37,1,12/23/2020
Southern Tier,Schuyler,15,0,12/23/2020
Finger Lakes,Seneca,43,0,12/23/2020
North Country,St. Lawrence,828,0,12/23/2020
Southern Tier,Steuben,193,0,12/23/2020
Long Island,Suffolk,3773,13,12/23/2020
Mid-Hudson,Sullivan,103,1,12/23/2020
Southern Tier,Tioga,10,0,12/23/2020
