Region,County,First Dose,Series Complete,Report as of
Capital Region,Warren,49080,45626,12/10/2021
Capital Region,Washington,39002,36512,12/10/2021
Finger Lakes,Wayne,60367,56368,12/10/2021
Mid-Hudson,Westchester,786910,707810,12/10/2021
Finger Lakes,Wyoming,21499,20048,12/10/2021
Finger Lakes,Yates,13517,12425,12/10/2021
Capital Region,Albany,230010,209748,12/11/2021
Western New York,Allegany,21107,19563,12/11/2021
New York City,Bronx,1044633,927480,12/11/2021
Southern Tier,Broome,124809,116333,12/11/2021
Western New York,Cattaraugus,40039,36896,12/11/2021
Central New York,Cayuga,46342,42900,12/11/2021
Western New York,Chautauqua,74616,68095,12/11/2021
Southern Tier,Chemung,45353,42453,12/11/2021
Southern Tier,Chenango,29051,27167,12/11/2021
North Country,Clinton,54813,51308,12/11/2021
Capital Region,Columbia,42660,39007,12/11/2021
Central New York,Cortland,27524,25810,12/11/2021
Southern Tier,Delaware,24807,22901,12/11/2021
Mid-Hudson,Dutchess,208559,187741,12/11/2021
Western New York,Erie,650790,600481,12/11/2021
North Country,Essex,25947,24067,12/11/2021
North Country,Franklin,28897,26621,12/11/2021
Mohawk Valley,Fulton,27942,26039,12/11/2021
Finger Lakes,Genesee,34623,32458,12/11/2021
Capital Region,Greene,29727,27052,12/11/2021
North Country,Hamilton,3399,3139,12/11/2021
Mohawk Valley,Herkimer,34443,32078,12/11/2021
North Country,Jefferson,69025,57081,12/11/2021
New York City,Kings,1827715,1652256,12/11/2021
North Country,Lewis,13497,12716,12/11/2021
Finger Lakes,Livingston,37623,35380,12/11/2021
Central New York,Madison,50598,47042,12/11/2021
Finger Lakes,Monroe,534946,496775,12/11/2021
Mohawk Valley,Montgomery,32569,30490,12/11/2021
Long Island,Nassau,1136430,1035163,12/11/2021
New York City,New York,1435166,1267108,12/11/2021
Western New York,Niagara,137996,128635,12/11/2021
Mohawk Valley,Oneida,142789,131617,12/11/2021
Central New York,Onondaga,337149,309737,12/11/2021
Finger Lakes,Ontario,78456,73295,12/11/2021
Mid-Hudson,Orange,236248,214739,12/11/2021
Finger Lakes,Orleans,22453,20946,12/11/2021
Central New York,Oswego,72867,68498,12/11/2021
Mohawk Valley,Otsego,37718,35195,12/11/2021
Mid-Hudson,Putnam,75461,67835,12/11/2021
New York City,Queens,1955443,1773197,12/11/2021
Capital Region,Rensselaer,109537,101407,12/11/2021
New York City,Richmond,347829,318545,12/11/2021
Mid-Hudson,Rockland,209620,188761,12/11/2021
Capital Region,Saratoga,175069,162376,12/11/2021
Capital Region,Schenectady,125127,115205,12/11/2021
Mohawk Valley,Schoharie,18069,17104,12/11/2021
Southern Tier,Schuyler,10416,9647,12/11/2021
Finger Lakes,Seneca,18213,16974,12/11/2021
North Country,St. Lawrence,66810,62002,12/11/2021
Southern Tier,Steuben,50712,47392,12/11/2021
Long Island,Suffolk,1125437,1024914,12/11/2021
Mid-Hudson,Sullivan,46320,41843,12/11/2021
Southern Tier,Tioga,24005,22669,12/11/2021
Southern Tier,Tompkins,79221,73705,12/11/2021
Mid-Hudson,Ulster,136361,124287,12/11/2021
Capital Region,Warren,49174,45674,12/11/2021
Capital Region,Washington,39058,36554,12/11/2021
Finger Lakes,Wayne,60406,56450,12/11/2021
Mid-Hudson,Westchester,787963,709002,12/11/2021
Finger Lakes,Wyoming,21518,20091,12/11/2021
Finger Lakes,Yates,13528,12464,12/11/2021
Capital Region,Albany,230087,210113,12/12/2021
Western New York,Allegany,21108,19566,12/12/2021
New York City,Bronx,1045167,927915,12/12/2021
Southern Tier,Broome,124832,116444,12/12/2021
Western New York,Cattaraugus,40057,36911,12/12/2021
Central New York,Cayuga,46354,42906,12/12/2021
Western New York,Chautauqua,74645,68159,12/12/2021
Southern Tier,Chemung,45365,42465,12/12/2021
Southern Tier,Chenango,29056,27175,12/12/2021
North Country,Clinton,54827,51333,12/12/2021
Capital Region,Columbia,42675,39026,12/12/2021
Central New York,Cortland,27527,25815,12/12/2021
Southern Tier,Delaware,24814,22907,12/12/2021
Mid-Hudson,Dutchess,208614,187843,12/12/2021
Western New York,Erie,651080,600849,12/12/2021
North Country,Essex,25949,24070,12/12/2021
North Country,Franklin,28901,26627,12/12/2021
Mohawk Valley,Fulton,27951,26044,12/12/2021
Finger Lakes,Genesee,34628,32473,12/12/2021
Capital Region,Greene,29739,27061,12/12/2021
North Country,Hamilton,3399,3139,12/12/2021
Mohawk Valley,Herkimer,34456,32099,12/12/2021
North Country,Jefferson,69042,57126,12/12/2021
New York City,Kings,1829424,1653521,12/12/2021
North Country,Lewis,13498,12716,12/12/2021
Finger Lakes,Livingston,37629,35390,12/12/2021
Central New York,Madison,50608,47066,12/12/2021
Finger Lakes,Monroe,535169,497424,12/12/2021
Mohawk Valley,Montgomery,32579,30504,12/12/2021
Long Island,Nassau,1137072,1035828,12/12/2021
New York City,New York,1436292,1267872,12/12/2021
Western New York,Niagara,138049,128692,12/12/2021
Mohawk Valley,Oneida,143113,131718,12/12/2021
Central New York,Onondaga,337247,309980,12/12/2021
Finger Lakes,Ontario,78468,73355,12/12/2021
Mid-Hudson,Orange,236373,214816,12/12/2021
Finger Lakes,Orleans,22460,20957,12/12/2021
Central New York,Oswego,72885,68516,12/12/2021
Mohawk Valley,Otsego,37731,35206,12/12/2021
Mid-Hudson,Putnam,75488,67859,12/12/2021
New York City,Queens,1957248,1774374,12/12/2021
Capital Region,Rensselaer,109575,101513,12/12/2021
New York City,Richmond,348090,318770,12/12/2021
Mid-Hudson,Rockland,209696,188833,12/12/2021
Capital Region,Saratoga,175133,162489,12/12/2021
Capital Region,Schenectady,125175,115291,12/12/2021
Mohawk Valley,Schoharie,18074,17107,12/12/2021
Southern Tier,Schuyler,10419,9647,12/12/2021
Finger Lakes,Seneca,18214,16974,12/12/2021
North Country,St. Lawrence,66835,62031,12/12/2021
Southern Tier,Steuben,50726,47402,12/12/2021
Long Island,Suffolk,1125978,1025534,12/12/2021
Mid-Hudson,Sullivan,46351,41865,12/12/2021
Southern Tier,Tioga,24011,22678,12/12/2021
Southern Tier,Tompkins,79240,73715,12/12/2021
Mid-Hudson,Ulster,136393,124316,12/12/2021
Capital Region,Warren,49182,45703,12/12/2021
Capital Region,Washington,39070,36578,12/12/2021
Finger Lakes,Wayne,60421,56484,12/12/2021
Mid-Hudson,Westchester,788305,709566,12/12/2021
Finger Lakes,Wyoming,21520,20097,12/12/2021
Finger Lakes,Yates,13530,12470,12/12/2021
Capital Region,Albany,230345,210543,12/13/2021
Western New York,Allegany,21132,19590,12/13/2021
New York City,Bronx,1046977,929266,12/13/2021
Southern Tier,Broome,124902,116554,12/13/2021
Western New York,Cattaraugus,40157,36982,12/13/2021
Central New York,Cayuga,46383,42945,12/13/2021
Western New York,Chautauqua,74731,68221,12/13/2021
Southern Tier,Chemung,45402,42508,12/13/2021
Southern Tier,Chenango,29128,27197,12/13/2021
North Country,Clinton,54887,51426,12/13/2021
Capital Region,Columbia,42708,39050,12/13/2021
Central New York,Cortland,27545,25836,12/13/2021
Southern Tier,Delaware,24821,22923,12/13/2021
Mid-Hudson,Dutchess,208756,188019,12/13/2021
Western New York,Erie,651649,601698,12/13/2021
North Country,Essex,25972,24095,12/13/2021
North Country,Franklin,28991,26653,12/13/2021
Mohawk Valley,Fulton,27964,26070,12/13/2021
Finger Lakes,Genesee,34668,32508,12/13/2021
Capital Region,Greene,29761,27081,12/13/2021
North Country,Hamilton,3400,3140,12/13/2021
Mohawk Valley,Herkimer,34484,32123,12/13/2021
North Country,Jefferson,69091,57254,12/13/2021
New York City,Kings,1832689,1655936,12/13/2021
North Country,Lewis,13508,12726,12/13/2021
Finger Lakes,Livingston,37650,35420,12/13/2021
Central New York,Madison,50638,47136,12/13/2021
Finger Lakes,Monroe,535577,498090,12/13/2021
Mohawk Valley,Montgomery,32610,30536,12/13/2021
Long Island,Nassau,1138200,1036895,12/13/2021
New York City,New York,1438835,1269765,12/13/2021
Western New York,Niagara,138201,128901,12/13/2021
Mohawk Valley,Oneida,143293,131994,12/13/2021
Central New York,Onondaga,337554,310611,12/13/2021
Finger Lakes,Ontario,78511,73409,12/13/2021
Mid-Hudson,Orange,236559,215105,12/13/2021
Finger Lakes,Orleans,22472,20981,12/13/2021
Central New York,Oswego,72936,68580,12/13/2021
Mohawk Valley,Otsego,37745,35224,12/13/2021
Mid-Hudson,Putnam,75551,67922,12/13/2021
New York City,Queens,1960264,1776489,12/13/2021
Capital Region,Rensselaer,109667,101656,12/13/2021
New York City,Richmond,348576,319151,12/13/2021
Mid-Hudson,Rockland,209901,189040,12/13/2021
Capital Region,Saratoga,175256,162701,12/13/2021
Capital Region,Schenectady,125309,115490,12/13/2021
Mohawk Valley,Schoharie,18088,17120,12/13/2021
Southern Tier,Schuyler,10450,9685,12/13/2021
Finger Lakes,Seneca,18223,16993,12/13/2021
North Country,St. Lawrence,66900,62115,12/13/2021
Southern Tier,Steuben,50790,47461,12/13/2021
Long Island,Suffolk,1126861,1026363,12/13/2021
Mid-Hudson,Sullivan,46394,41896,12/13/2021
Southern Tier,Tioga,24018,22697,12/13/2021
Southern Tier,Tompkins,79319,73769,12/13/2021
Mid-Hudson,Ulster,136482,124407,12/13/2021
Capital Region,Warren,49223,45759,12/13/2021
Capital Region,Washington,39103,36638,12/13/2021
Finger Lakes,Wayne,60465,56568,12/13/2021
Mid-Hudson,Westchester,789231,710708,12/13/2021
Finger Lakes,Wyoming,21541,20112,12/13/2021
Finger Lakes,Yates,13540,12520,12/13/2021
Capital Region,Albany,233411,213431,12/14/2021
Western New York,Allegany,21475,19927,12/14/2021
New York City,Bronx,1050560,932304,12/14/2021
Southern Tier,Broome,125047,116725,12/14/2021
Western New York,Cattaraugus,40300,37117,12/14/2021
Central New York,Cayuga,47004,43572,12/14/2021
Western New York,Chautauqua,74877,68327,12/14/2021
Southern Tier,Chemung,45487,42570,12/14/2021
Southern Tier,Chenango,29230,27255,12/14/2021
North Country,Clinton,55155,51671,12/14/2021
Capital Region,Columbia,43202,39520,12/14/2021
Central New York,Cortland,27609,25958,12/14/2021
Southern Tier,Delaware,24868,22970,12/14/2021
Mid-Hudson,Dutchess,209162,188388,12/14/2021
Western New York,Erie,652828,602973,12/14/2021
North Country,Essex,26244,24473,12/14/2021
North Country,Franklin,29110,26903,12/14/2021
Mohawk Valley,Fulton,28367,26452,12/14/2021
Finger Lakes,Genesee,35276,33088,12/14/2021
Capital Region,Greene,30287,27574,12/14/2021
North Country,Hamilton,3416,3155,12/14/2021
Mohawk Valley,Herkimer,34859,32482,12/14/2021
North Country,Jefferson,70062,58234,12/14/2021
New York City,Kings,1837900,1659946,12/14/2021
North Country,Lewis,13672,12909,12/14/2021
Finger Lakes,Livingston,38086,35838,12/14/2021
Central New York,Madison,51417,47946,12/14/2021
Finger Lakes,Monroe,539587,502322,12/14/2021
Mohawk Valley,Montgomery,33085,30983,12/14/2021
Long Island,Nassau,1142936,1041290,12/14/2021
New York City,New York,1443805,1273455,12/14/2021
Western New York,Niagara,138529,129285,12/14/2021
Mohawk Valley,Oneida,145183,133915,12/14/2021
Central New York,Onondaga,341912,314831,12/14/2021
Finger Lakes,Ontario,79795,74651,12/14/2021
Mid-Hudson,Orange,237051,215554,12/14/2021
Finger Lakes,Orleans,22815,21313,12/14/2021
Central New York,Oswego,74293,69920,12/14/2021
Mohawk Valley,Otsego,37832,35330,12/14/2021
Mid-Hudson,Putnam,75665,68078,12/14/2021
New York City,Queens,1964351,1779564,12/14/2021
Capital Region,Rensselaer,111007,103027,12/14/2021
New York City,Richmond,349470,319876,12/14/2021
Mid-Hudson,Rockland,210211,189284,12/14/2021
Capital Region,Saratoga,177034,164512,12/14/2021
Capital Region,Schenectady,126579,116849,12/14/2021
Mohawk Valley,Schoharie,18337,17362,12/14/2021
Southern Tier,Schuyler,10466,9703,12/14/2021
Finger Lakes,Seneca,18453,17210,12/14/2021
North Country,St. Lawrence,67173,62441,12/14/2021
Southern Tier,Steuben,51020,47672,12/14/2021
Long Island,Suffolk,1129034,1028298,12/14/2021
Mid-Hudson,Sullivan,46477,42023,12/14/2021
Southern Tier,Tioga,24040,22727,12/14/2021
Southern Tier,Tompkins,79409,73842,12/14/2021
Mid-Hudson,Ulster,136748,124645,12/14/2021
Capital Region,Warren,49746,46228,12/14/2021
Capital Region,Washington,39634,37106,12/14/2021
Finger Lakes,Wayne,61400,57470,12/14/2021
Mid-Hudson,Westchester,790717,712660,12/14/2021
Finger Lakes,Wyoming,21830,20408,12/14/2021
Finger Lakes,Yates,13756,12733,12/14/2021
Capital Region,Albany,234719,214562,12/15/2021
Western New York,Allegany,21859,20294,12/15/2021
New York City,Bronx,1055605,936586,12/15/2021
Southern Tier,Broome,126498,118197,12/15/2021
Western New York,Cattaraugus,41225,37928,12/15/2021
Central New York,Cayuga,47113,43773,12/15/2021
Western New York,Chautauqua,76151,69563,12/15/2021
Southern Tier,Chemung,46242,43299,12/15/2021
Southern Tier,Chenango,29642,27606,12/15/2021
North Country,Clinton,55259,51735,12/15/2021
Capital Region,Columbia,43287,39605,12/15/2021
Central New York,Cortland,27956,26303,12/15/2021
Southern Tier,Delaware,25097,23180,12/15/2021
Mid-Hudson,Dutchess,212095,191278,12/15/2021
Western New York,Erie,664342,614298,12/15/2021
North Country,Essex,26280,24491,12/15/2021
North Country,Franklin,29174,26924,12/15/2021
Mohawk Valley,Fulton,28416,26506,12/15/2021
Finger Lakes,Genesee,35696,33482,12/15/2021
Capital Region,Greene,30358,27658,12/15/2021
North Country,Hamilton,3418,3158,12/15/2021
Mohawk Valley,Herkimer,34907,32539,12/15/2021
North Country,Jefferson,70261,58397,12/15/2021
New York City,Kings,1845114,1665863,12/15/2021
North Country,Lewis,13693,12947,12/15/2021
Finger Lakes,Livingston,38262,36020,12/15/2021
Central New York,Madison,51484,47996,12/15/2021
Finger Lakes,Monroe,541669,504270,12/15/2021
Mohawk Valley,Montgomery,33147,31036,12/15/2021
Long Island,Nassau,1145145,1043205,12/15/2021
New York City,New York,1448417,1276682,12/15/2021
Western New York,Niagara,141134,131790,12/15/2021
Mohawk Valley,Oneida,145425,134156,12/15/2021
Central New York,Onondaga,342426,315390,12/15/2021
Finger Lakes,Ontario,80349,75180,12/15/2021
Mid-Hudson,Orange,239657,218001,12/15/2021
Finger Lakes,Orleans,22990,21473,12/15/2021
Central New York,Oswego,74423,70056,12/15/2021
Mohawk Valley,Otsego,38122,35596,12/15/2021
Mid-Hudson,Putnam,76392,68770,12/15/2021
New York City,Queens,1971017,1784993,12/15/2021
Capital Region,Rensselaer,111257,103197,12/15/2021
New York City,Richmond,351962,322086,12/15/2021
Mid-Hudson,Rockland,211607,190612,12/15/2021
Capital Region,Saratoga,177557,164870,12/15/2021
Capital Region,Schenectady,126855,117029,12/15/2021
Mohawk Valley,Schoharie,18387,17417,12/15/2021
Southern Tier,Schuyler,10638,9865,12/15/2021
Finger Lakes,Seneca,18524,17277,12/15/2021
North Country,St. Lawrence,67229,62489,12/15/2021
Southern Tier,Steuben,52628,49235,12/15/2021
Long Island,Suffolk,1137522,1036175,12/15/2021
Mid-Hudson,Sullivan,47044,42624,12/15/2021
Southern Tier,Tioga,24269,22952,12/15/2021
Southern Tier,Tompkins,79774,74177,12/15/2021
Mid-Hudson,Ulster,138274,126118,12/15/2021
Capital Region,Warren,49795,46273,12/15/2021
Capital Region,Washington,39673,37149,12/15/2021
Finger Lakes,Wayne,61575,57643,12/15/2021
Mid-Hudson,Westchester,795456,716984,12/15/2021
Finger Lakes,Wyoming,22050,20635,12/15/2021
Finger Lakes,Yates,13883,12849,12/15/2021
Capital Region,Albany,235498,215300,12/16/2021
Western New York,Allegany,21938,20360,12/16/2021
New York City,Bronx,1058649,938453,12/16/2021
Southern Tier,Broome,126678,118339,12/16/2021
Western New York,Cattaraugus,41314,38015,12/16/2021
Central New York,Cayuga,47174,43829,12/16/2021
Western New York,Chautauqua,76345,69696,12/16/2021
Southern Tier,Chemung,46318,43362,12/16/2021
Southern Tier,Chenango,29674,27648,12/16/2021
North Country,Clinton,55401,51852,12/16/2021
Capital Region,Columbia,43347,39654,12/16/2021
Central New York,Cortland,28007,26333,12/16/2021
Southern Tier,Delaware,25131,23215,12/16/2021
Mid-Hudson,Dutchess,212594,191650,12/16/2021
Western New York,Erie,665681,615864,12/16/2021
North Country,Essex,26323,24518,12/16/2021
North Country,Franklin,29229,26949,12/16/2021
Mohawk Valley,Fulton,28467,26540,12/16/2021
Finger Lakes,Genesee,35763,33527,12/16/2021
Capital Region,Greene,30388,27709,12/16/2021
North Country,Hamilton,3420,3160,12/16/2021
Mohawk Valley,Herkimer,34944,32583,12/16/2021
North Country,Jefferson,70385,58479,12/16/2021
New York City,Kings,1849207,1668405,12/16/2021
North Country,Lewis,13719,12965,12/16/2021
Finger Lakes,Livingston,38324,36071,12/16/2021
Central New York,Madison,51594,48075,12/16/2021
Finger Lakes,Monroe,542544,505044,12/16/2021
Mohawk Valley,Montgomery,33203,31073,12/16/2021
Long Island,Nassau,1147054,1044569,12/16/2021
New York City,New York,1452018,1278496,12/16/2021
Western New York,Niagara,141420,132051,12/16/2021
Mohawk Valley,Oneida,145664,134381,12/16/2021
Central New York,Onondaga,342995,315906,12/16/2021
Finger Lakes,Ontario,80536,75337,12/16/2021
Mid-Hudson,Orange,240113,218368,12/16/2021
Finger Lakes,Orleans,23038,21524,12/16/2021
Central New York,Oswego,74531,70156,12/16/2021
Mohawk Valley,Otsego,38177,35644,12/16/2021
Mid-Hudson,Putnam,76527,68865,12/16/2021
New York City,Queens,1974657,1787072,12/16/2021
Capital Region,Rensselaer,111444,103370,12/16/2021
New York City,Richmond,352780,322649,12/16/2021
Mid-Hudson,Rockland,211915,190862,12/16/2021
Capital Region,Saratoga,177872,165122,12/16/2021
Capital Region,Schenectady,127063,117268,12/16/2021
Mohawk Valley,Schoharie,18404,17443,12/16/2021
Southern Tier,Schuyler,10674,9886,12/16/2021
Finger Lakes,Seneca,18555,17307,12/16/2021
North Country,St. Lawrence,67293,62540,12/16/2021
Southern Tier,Steuben,52828,49404,12/16/2021
Long Island,Suffolk,1139385,1037591,12/16/2021
Mid-Hudson,Sullivan,47119,42670,12/16/2021
Southern Tier,Tioga,24313,22985,12/16/2021
Southern Tier,Tompkins,79937,74264,12/16/2021
Mid-Hudson,Ulster,138487,126298,12/16/2021
Capital Region,Warren,49902,46338,12/16/2021
Capital Region,Washington,39748,37213,12/16/2021
Finger Lakes,Wayne,61697,57735,12/16/2021
Mid-Hudson,Westchester,797179,718103,12/16/2021
Finger Lakes,Wyoming,22084,20674,12/16/2021
Finger Lakes,Yates,13927,12884,12/16/2021
Capital Region,Albany,235854,215498,12/17/2021
Western New York,Allegany,21975,20383,12/17/2021
New York City,Bronx,1062257,940207,12/17/2021
Southern Tier,Broome,126790,118430,12/17/2021
Western New York,Cattaraugus,41381,38045,12/17/2021
Central New York,Cayuga,47219,43874,12/17/2021
Western New York,Chautauqua,76459,69788,12/17/2021
Southern Tier,Chemung,46459,43421,12/17/2021
Southern Tier,Chenango,29714,27663,12/17/2021
North Country,Clinton,55512,51916,12/17/2021
Capital Region,Columbia,43390,39677,12/17/2021
Central New York,Cortland,28039,26355,12/17/2021
Southern Tier,Delaware,25153,23240,12/17/2021
Mid-Hudson,Dutchess,212903,191863,12/17/2021
Western New York,Erie,666686,616415,12/17/2021
North Country,Essex,26360,24548,12/17/2021
North Country,Franklin,29261,26973,12/17/2021
Mohawk Valley,Fulton,28502,26556,12/17/2021
Finger Lakes,Genesee,35796,33561,12/17/2021
Capital Region,Greene,30436,27739,12/17/2021
North Country,Hamilton,3421,3161,12/17/2021
Mohawk Valley,Herkimer,34988,32613,12/17/2021
North Country,Jefferson,70483,58557,12/17/2021
New York City,Kings,1853702,1670776,12/17/2021
North Country,Lewis,13732,12976,12/17/2021
Finger Lakes,Livingston,38354,36101,12/17/2021
Central New York,Madison,51696,48136,12/17/2021
Finger Lakes,Monroe,543145,505425,12/17/2021
Mohawk Valley,Montgomery,33246,31096,12/17/2021
Long Island,Nassau,1148912,1045767,12/17/2021
New York City,New York,1455673,1280094,12/17/2021
Western New York,Niagara,141597,132155,12/17/2021
Mohawk Valley,Oneida,145836,134483,12/17/2021
Central New York,Onondaga,343411,316172,12/17/2021
Finger Lakes,Ontario,80609,75372,12/17/2021
Mid-Hudson,Orange,240486,218596,12/17/2021
Finger Lakes,Orleans,23054,21543,12/17/2021
Central New York,Oswego,74591,70206,12/17/2021
Mohawk Valley,Otsego,38228,35666,12/17/2021
Mid-Hudson,Putnam,76656,68925,12/17/2021
New York City,Queens,1979128,1789381,12/17/2021
Capital Region,Rensselaer,111588,103439,12/17/2021
New York City,Richmond,353432,322994,12/17/2021
Mid-Hudson,Rockland,212246,191057,12/17/2021
Capital Region,Saratoga,178106,165240,12/17/2021
Capital Region,Schenectady,127208,117365,12/17/2021
Mohawk Valley,Schoharie,18424,17455,12/17/2021
Southern Tier,Schuyler,10688,9922,12/17/2021
Finger Lakes,Seneca,18564,17321,12/17/2021
North Country,St. Lawrence,67369,62616,12/17/2021
Southern Tier,Steuben,52910,49465,12/17/2021
Long Island,Suffolk,1141120,1038647,12/17/2021
Mid-Hudson,Sullivan,47167,42711,12/17/2021
Southern Tier,Tioga,24344,23006,12/17/2021
Southern Tier,Tompkins,80083,74308,12/17/2021
Mid-Hudson,Ulster,138688,126397,12/17/2021
Capital Region,Warren,49951,46355,12/17/2021
Capital Region,Washington,39793,37236,12/17/2021
Finger Lakes,Wayne,61764,57777,12/17/2021
Mid-Hudson,Westchester,799109,719028,12/17/2021
Finger Lakes,Wyoming,22101,20711,12/17/2021
Finger Lakes,Yates,13934,12888,12/17/2021
Capital Region,Albany,236121,215682,12/18/2021
Western New York,Allegany,22000,20393,12/18/2021
New York City,Bronx,1065378,941738,12/18/2021
Southern Tier,Broome,126898,118511,12/18/2021
Western New York,Cattaraugus,41410,38071,12/18/2021
Central New York,Cayuga,47246,43904,12/18/2021
Western New York,Chautauqua,76597,69863,12/18/2021
Southern Tier,Chemung,46496,43445,12/18/2021
Southern Tier,Chenango,29740,27684,12/18/2021
North Country,Clinton,55615,51930,12/18/2021
Capital Region,Columbia,43435,39711,12/18/2021
Central New York,Cortland,28055,26366,12/18/2021
Southern Tier,Delaware,25182,23255,12/18/2021
Mid-Hudson,Dutchess,213147,192112,12/18/2021
Western New York,Erie,667396,617049,12/18/2021
North Country,Essex,26369,24552,12/18/2021
North Country,Franklin,29275,26989,12/18/2021
Mohawk Valley,Fulton,28521,26569,12/18/2021
Finger Lakes,Genesee,35824,33585,12/18/2021
Capital Region,Greene,30457,27751,12/18/2021
North Country,Hamilton,3421,3161,12/18/2021
Mohawk Valley,Herkimer,35014,32629,12/18/2021
North Country,Jefferson,70550,58612,12/18/2021
New York City,Kings,1858362,1673282,12/18/2021
North Country,Lewis,13733,12985,12/18/2021
Finger Lakes,Livingston,38389,36156,12/18/2021
Central New York,Madison,51736,48166,12/18/2021
Finger Lakes,Monroe,543656,505888,12/18/2021
Mohawk Valley,Montgomery,33264,31114,12/18/2021
Long Island,Nassau,1150610,1046892,12/18/2021
New York City,New York,1458821,1281657,12/18/2021
Western New York,Niagara,141733,132323,12/18/2021
Mohawk Valley,Oneida,145993,134578,12/18/2021
Central New York,Onondaga,343963,316478,12/18/2021
Finger Lakes,Ontario,80698,75441,12/18/2021
Mid-Hudson,Orange,240862,218832,12/18/2021
Finger Lakes,Orleans,23059,21556,12/18/2021
Central New York,Oswego,74642,70238,12/18/2021
Mohawk Valley,Otsego,38265,35711,12/18/2021
Mid-Hudson,Putnam,76786,69020,12/18/2021
New York City,Queens,1983656,1791777,12/18/2021
Capital Region,Rensselaer,111688,103523,12/18/2021
New York City,Richmond,354099,323443,12/18/2021
Mid-Hudson,Rockland,212390,191191,12/18/2021
Capital Region,Saratoga,178309,165468,12/18/2021
Capital Region,Schenectady,127330,117514,12/18/2021
Mohawk Valley,Schoharie,18446,17470,12/18/2021
Southern Tier,Schuyler,10691,9927,12/18/2021
Finger Lakes,Seneca,18575,17336,12/18/2021
North Country,St. Lawrence,67396,62634,12/18/2021
Southern Tier,Steuben,52940,49492,12/18/2021
Long Island,Suffolk,1142422,1039578,12/18/2021
Mid-Hudson,Sullivan,47192,42744,12/18/2021
Southern Tier,Tioga,24366,23021,12/18/2021
Southern Tier,Tompkins,80137,74340,12/18/2021
Mid-Hudson,Ulster,138859,126557,12/18/2021
Capital Region,Warren,50028,46388,12/18/2021
Capital Region,Washington,39851,37272,12/18/2021
Finger Lakes,Wayne,61841,57849,12/18/2021
Mid-Hudson,Westchester,801395,720852,12/18/2021
Finger Lakes,Wyoming,22111,20735,12/18/2021
Finger Lakes,Yates,13945,12897,12/18/2021
Capital Region,Albany,236220,215740,12/19/2021
Western New York,Allegany,22012,20395,12/19/2021
New York City,Bronx,1066308,942181,12/19/2021
Southern Tier,Broome,126933,118553,12/19/2021
Western New York,Cattaraugus,41428,38079,12/19/2021
Central New York,Cayuga,47257,43915,12/19/2021
Western New York,Chautauqua,76643,69909,12/19/2021
Southern Tier,Chemung,46507,43453,12/19/2021
Southern Tier,Chenango,29754,27689,12/19/2021
North Country,Clinton,55621,51948,12/19/2021
Capital Region,Columbia,43454,39724,12/19/2021
Central New York,Cortland,28064,26380,12/19/2021
Southern Tier,Delaware,25192,23262,12/19/2021
Mid-Hudson,Dutchess,213380,192506,12/19/2021
Western New York,Erie,667851,617420,12/19/2021
North Country,Essex,26370,24554,12/19/2021
North Country,Franklin,29281,26996,12/19/2021
Mohawk Valley,Fulton,28535,26582,12/19/2021
Finger Lakes,Genesee,35834,33602,12/19/2021
Capital Region,Greene,30467,27762,12/19/2021
North Country,Hamilton,3421,3163,12/19/2021
Mohawk Valley,Herkimer,35024,32648,12/19/2021
North Country,Jefferson,70578,58639,12/19/2021
New York City,Kings,1860466,1674448,12/19/2021
North Country,Lewis,13734,12990,12/19/2021
Finger Lakes,Livingston,38409,36178,12/19/2021
Central New York,Madison,51745,48188,12/19/2021
Finger Lakes,Monroe,544019,506444,12/19/2021
Mohawk Valley,Montgomery,33271,31126,12/19/2021
Long Island,Nassau,1151673,1047579,12/19/2021
New York City,New York,1460368,1282273,12/19/2021
Western New York,Niagara,141788,132375,12/19/2021
Mohawk Valley,Oneida,146052,134656,12/19/2021
Central New York,Onondaga,344130,316671,12/19/2021
Finger Lakes,Ontario,80734,75487,12/19/2021
Mid-Hudson,Orange,240999,218965,12/19/2021
Finger Lakes,Orleans,23066,21564,12/19/2021
Central New York,Oswego,74663,70263,12/19/2021
Mohawk Valley,Otsego,38275,35718,12/19/2021
Mid-Hudson,Putnam,76831,69055,12/19/2021
New York City,Queens,1985903,1793048,12/19/2021
Capital Region,Rensselaer,111724,103578,12/19/2021
New York City,Richmond,354389,323636,12/19/2021
Mid-Hudson,Rockland,212540,191334,12/19/2021
Capital Region,Saratoga,178407,165596,12/19/2021
Capital Region,Schenectady,127385,117560,12/19/2021
Mohawk Valley,Schoharie,18452,17475,12/19/2021
Southern Tier,Schuyler,10692,9929,12/19/2021
Finger Lakes,Seneca,18577,17340,12/19/2021
North Country,St. Lawrence,67409,62647,12/19/2021
Southern Tier,Steuben,52964,49516,12/19/2021
Long Island,Suffolk,1143245,1040205,12/19/2021
Mid-Hudson,Sullivan,47222,42770,12/19/2021
Southern Tier,Tioga,24369,23025,12/19/2021
Southern Tier,Tompkins,80218,74355,12/19/2021
Mid-Hudson,Ulster,138932,126692,12/19/2021
Capital Region,Warren,50037,46407,12/19/2021
Capital Region,Washington,39869,37295,12/19/2021
Finger Lakes,Wayne,61858,57894,12/19/2021
Mid-Hudson,Westchester,801985,721325,12/19/2021
Finger Lakes,Wyoming,22120,20741,12/19/2021
